token,dropdown_option
Madera,Madera
Fresno,Fresno City
Clovis,Clovis
Reedley,Reedley College
Bakersfield,Bakersfield
Cerro Coso,Cerro Coso
Porterville,Porterville
Sequoias,Sequoias
Taft,Taft
Lemoore,Lemoore College
Coalinga,Coalinga College
San Joaquin Delta,San Joaquin Delta
Columbia,Columbia
Modesto,Modesto
Merced,Merced
